ANDHRA PRADESH(EAST),"Srikakulam, Vizianagarm, Vishakhapatnam, East Godavari"
ODISHA (WEST),"Malkangiri, Koraput, Nabarangapur, Naupada, Kalahandi, Balangir"
PUNJAB (EAST),"Hoshiarpur, Jalandhar, Rupnagar, Patiala, Sangrur, Mansa, Barnala, Ludhiana, Kapurthala, Sahibzada Ajit Singh Nagar (Mohali), Shaheed Bhagat Singh Nagar (Nawa Sehar), Fatehgarh Sahib, Pathankot, Gurdaspur"
PUNJAB (WEST),"Bathinda, Moga, Amritsar, Tarn Taran, Firozpur, Faridkot, Muktsar, Fazilka"
RAJASTHAN (EAST),"Dholpur, Bharatpur, Karauli, Dausa, Alwar, Sawai Madhopur, Kota, Baran, Jhalawar, Bundi, Tonk, Jaipur"
RAJASTHAN (CENTRAL),"Hanumangarh, Churu, Sikar, Nagaur, Ajmer, Bhilwara, Rajsamand, Udaipur, Pratapgarh, Banswara, Dungarpur, Pali, Sirohi, Jodhpur, Sri Ganganagar, Bikaner,"
,"Chittorgarh, Jhunjhunu"
RAJASTHAN (WEST),"Jalor, Barmer, Jaisalmer"
TAMILNADU (EAST),"Ariyalur, Chennai, Cuddalore, Kanchipuram, Nagapattinam, Perambalur, Pudukkottai, Ramanathapuram, Thanjavur, Tiruchchirappalli, Tiruvarur, "
,"Tiruvallur, Tiruvannamalai, Vellore, Viluppuram, Sivaganga"
TAMILNADU (WEST),"Krishnagiri, Dharmapuri, Salem, Namakkal, Karur, Dindigul, Madurai, Virudhunagar, Thoothukudi, Tirunelveli, Kanyakumari, Theni, Coimbatore,"
,"Tiruppur, Erode, Nilgiris"
TELANGANA (EAST),"Khammam, Warangal"
TELANGANA (WEST),"Adilabad, Karimnagar, Nizamabad, Medak, Rangareddy, Hyderabad, Mahbubnagar, Nalgonda"
UTTAR PRADESH (EAST),"Ambedkar Nagar, Azamgarh, Balrampur, Ballia, Basti, Chandauli, Deoria, Ghazipur, Gorakhpur, Jaunpur, Kushinagar, Maharajganj, Mau, Mirzapur, "
,"Sant Ravidasnagar, Sant Kabir Nagar, Siddharthnagar, Sonbhadra, Sultanpur, Varanasi"
UTTAR PRADESH (CENTRAL),"Allahabad, Amethi, Bahraich, Banda, Barabanki, Chitrakoot, Faizabad, Fatehpur, Gonda, Hamirpur, Hardoi, Kannauj, Kanpur Dehat, Kanpur Nagar, Kaushambi, "
,"Lakhimpur Kheri, Lucknow, Mahoba, Pilibhit, Pratapgarh, Raebareli, Shahjahanpur, Sitapur, Sravasti, Unnao"
UTTAR PRADESH (WEST),"Agra, Aligarh, Auraiya, Bagpat, Bareilly, Bijnor, Budaun, Bulandshahr, Etah, Etawah, Farrukhabad, Firozabad, Gautambuddh Nagar, Ghaziabad, Hathras, Jalaun, "
,"Jhansi, Kashganj, Lalitpur, Mainpuri, Mathura, Meerut, Moradabad, Muzaffarnagar, Rampur, Saharanpur, Sambhal, Shamli, Amroha, Hapur"
UTTARAKHAND (EAST),"Pithoragarh, Champawat, Udham Singh Nagar, Nainital, Almora, Bageshwar, Chamoli"
UTTARAKHAND (WEST),"Haridwar, Dehradun, Tehri Garhwal, Pauri Garhwal, Rudraprayag, Uttar Kashi"
WEST BENGAL (EAST),"Alipurduar, Cooch Behar, Darjeeling, Jalpaiguri, Uttar Dinajpur, Dakshin Dinajpur, Maldah, Murshidabad, Nadia, Hooghly, North 24 Parganas, "
,"South 24 Parganas, Howrah, Kolkata"
WEST BENGAL (WEST),"Purba Medinipur, Paschim Medinipur, Bankura, Puruliya, Bardhaman, Birbhum"
